Codigo,Norte,Este,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,ratingcol,claseph,long,lat
1349119SW142,8273845,196599,7.71,182.3,89.91,12.6,3.6,3,12.5,0.4,40.2,31,NA,Avenida,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.8291261,-15.5950244
1349119SW143,8272488,200592,8.87,891.5,437.3,39.48,11,11.26,116.3,126,85.56,165.1,14.4,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.79209035,-15.60775392
1349119SW143,8272533,200641,9.21,420,206.3,22.6,5.4,6.4,56.1,63.3,33,79,5,Avenida,Alto Camana,Agua superficial,Rio,blue,Basico,-71.7916283,-15.60735337
1349119SW144,8269648,202843,8.51,834.1,409.2,41.28,12.2,12.23,103,100.1,94.03,142,23,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.7714616,-15.6336651
1349119SW144,8269650,202846,8.68,475.6,233.4,22.5,5.4,6.6,56.6,63.9,32.2,81,3,Avenida,Alto Camana,Agua superficial,Rio,blue,Basico,-71.7714334,-15.63364739
1349119SW144A,8270608,198685,7.81,1032,506.4,47.06,15.34,13.01,128.1,151.8,107.2,203.7,NA,Estiaje,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.81008996,-15.62450326
1349119SW145,8270606,198687,7.43,442.4,217.8,18.08,6.85,10.67,48.33,74.74,21.39,94.2,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.81007157,-15.62452156
1349119SW145,8272908,196287,7.91,371.6,182.6,15.1,4.7,9.6,33.8,43.9,14.9,74,NA,Avenida,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.83214899,-15.60344773
1349119SW147,8269242,201755,8.67,910.2,445.7,38.32,11.5,9.313,126.2,135.9,78.32,178.3,13.2,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.78164989,-15.63720287
1349119SW147,8269221,201772,9.21,461.3,226.7,21.7,5.6,6,57.1,65.9,32.7,76,6,Avenida,Alto Camana,Agua superficial,Rio,blue,Basico,-71.78149403,-15.63739451
1349119SW152,8268525,206955,8.6,205.7,101.3,16.88,4.23,5.998,10.44,1.017,25.43,79.2,NA,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.73327694,-15.64428727
1349119SW152,8268513,206979,8.47,144.1,71.23,14.3,2.7,4.3,6,0.4,12.5,58,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.73305471,-15.64439842
1349119SW153,8283255,228638,8.48,471.9,232.4,18.63,4.68,4.185,63.37,88.69,22.44,70.4,NA,Estiaje,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.52955458,-15.51367536
1349119SW153,8283258,228636,8.78,442.2,217.2,20.1,4.3,4.4,53.5,76,21.3,61,NA,Avenida,Alto Camana,Agua superficial,Rio,blue,Basico,-71.52957288,-15.51364805
1349119SW154,8285033,235437,8.68,196.2,96.78,15.31,3.16,4.7,7.39,1.613,22.7,85.4,NA,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.46602836,-15.49833231
1349119SW154,8285022,235377,9.02,153.3,75.65,17.1,2.5,4.5,6.7,0.5,20.6,52,NA,Avenida,Alto Camana,Agua superficial,Rio,blue,Basico,-71.46658843,-15.49842543
1349119SW155,8281764,226593,8.68,481.9,236.6,18.57,4.66,4.082,65.45,90.37,22.29,77.3,NA,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.54876938,-15.52692272
1349119SW155,8281765,226599,8.8,438.6,215.4,20.7,4.4,4.6,55.7,76.2,21.8,64,NA,Avenida,Alto Camana,Agua superficial,Rio,blue,Basico,-71.54871338,-15.52691434
1349119SW156,8283017,232456,8.78,470.4,230.7,19.73,5.19,4.315,69.59,89.12,22.91,75.8,NA,Estiaje,Alto Camana,Agua superficial,Rio,blue,Basico,-71.49401455,-15.51622964
1349119SW156,8282915,232430,8.77,442.5,217.3,21.4,4.7,4.8,58.2,76,22.1,64,NA,Avenida,Alto Camana,Agua superficial,Rio,blue,Basico,-71.49426783,-15.51714818
1349119SW157,8282004,230391,8.28,507.1,249.1,16.7,4.65,4.006,63.62,88.06,22.46,84.2,NA,Estiaje,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.51336183,-15.52516095
1349119SW157,8282004,230387,8.55,432.5,212.4,21.5,4.5,4.9,55,71.4,21.6,64,NA,Avenida,Alto Camana,Agua superficial,Rio,blue,Basico,-71.5133991,-15.52516053
1349119SW158,8280863,227064,8,608.8,298.8,54.02,5.55,21.09,33,30,155.3,119.7,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.54448159,-15.53511105
1349119SW158,8280859,227099,7.79,510.1,269.9,61.6,5.3,23.5,33.3,19.6,163.7,94,1,Avenida,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.54415597,-15.53515094
