Ident;CRUISE;SHIP;YEAR;MONTH;DAY;HOUR;LONGITUDE;LATITUDE;Period;DEPTH;Domain;DC;SST;SALINITY;OXYGEN;WM;WMCode;Clorofila;fosfatos;nitratos;nitritos;silicatos;TOTAL.BIOMASS;ANCHOVIES;SARDINE;JACK.MACKEREL;MACKEREL;SAMASA;FALSO.VOLADOR;BAGRE;CAMOTILLO;VINCIGUERRIA;POTA;MUNIDA;TotalBsinMunida
7256;c0001-02;BIC-SNP;2000;1;26;624;-74.46333333333334;-16.40216666666666;CD;3215.75814794;A0;31.4268255804;21.3;34.99;5.37;ACF;1;3.071;1.03743617747;.104644980606;1.99356247961;4.26293319958;60;60;0;0;0;0;0;0;0;0;0;0;60
4289;c0001-02;BIC-SNP;2000;2;8;338;-78.25816666666667;-11.42166666666667;N;749.14681599;AT;36.4885957811;21.3;35.01;5.37;ACF;1;1.326;1.70930057897;.0975340506987;.935357789157;2.78594601602;20;0;0;0;0;0;0;0;0;20;0;0;20
6428;c0001-02;BIC-SNP;2000;1;29;919;-76.08816666666667;-14.89733333333334;D;907.499871868;A0;17.4575082474;21.2;35.06;5.37;ASS;3;2.69;.741024718671;.205573579701;.757355910637;3.97870529829;0;0;0;0;0;0;0;0;0;0;0;0;0
3239;c0001-02;BIC-SNP;2000;2;11;2030;-79.18783333333333;-8.920166666666667;N;78.9238644718;AP;27.7806245679;20.4;34.83;5.37;ACF;1;1.475;1.78195474849;.931880905131;.973688263125;11.5007496377;4803;698;0;0;0;0;0;0;0;0;0;4105;698
6011;c0001-02;BIC-SNP;2000;1;30;2219;-76.58333333333333;-13.773;N;198.935294548;AT;15.0217842509;20.3;35.03;5.37;ASS;3;3.294;1.11711667385;.368602515721;1.10922065562;4.06741645494;4109;165;0;0;0;0;0;0;44;0;0;3900;209
5228;c0001-02;BIC-SNP;2000;2;6;54;-77.33183333333334;-12.17183333333333;N;104.414076433;AP;11.6623061878;20.3;34.75;5.37;ACF;1;4.439;1.36234395941;.177506125026;1.60271982628;4.81009687099;1921;1404;0;0;0;12;0;505;0;0;0;0;1921
4409;c0001-02;BIC-SNP;2000;2;8;1832;-78.13716666666667;-10.945;CN;254.254876701;AT;22.7347149806;20.3;34.85;5.37;ACF;1;5.274;1.57603224439;.271253610128;3.25901182902;6.35410575242;860;78;0;0;0;0;0;0;0;0;0;782;78
6251;c0001-02;BIC-SNP;2000;1;31;700;-76.3335;-13.32033333333334;D;28.8399794984;AP;3.60245138012;20.2;34.85;5.37;ACF;1;3.776;2.02878698547;.237672646761;1.35890851889;11.9337382164;12;8;0;0;0;2;0;2;0;0;0;0;12
8711;c0001-02;BIC-Olaya;2000;1;21;1120;-71.195;-17.96;D;197.533972596;AT;8.02813238431;20.1;34.82;5.37;ACF;1;4.297;1.34768433231;.146413442742;2.15297115115;8.03692716615;1002;171;0;0;0;0;2;0;0;0;0;829;
670;c0001-02;BIC-Olaya;2000;2;22;2119;-81.62666666666667;-4.996666666666666;N;2431.09521626;A0;25.4515934082;25;33.84;5.36;AES;2;.671;.456347853628;.549837495138;5.74491161662;.804223884882;114;0;0;0;0;0;0;0;0;0;114;0;114
1034;c0001-02;BIC-Olaya;2000;2;24;1900;-81.36166666666666;-4.58;CN;336.996177693;AT;4.16493302203;24.6;33.78;5.36;AES;2;1.888;.647887695258;1.17950093654;2.42827345724;.795513496822;42;0;0;0;0;0;0;0;0;23;19;0;42
1029;c0001-02;BIC-Olaya;2000;2;24;1906;-81.365;-4.565;CN;375.34414973;AT;4.48585441514;24.6;33.77;5.36;AES;2;1.918;.652106273634;1.16178995511;2.35009653803;.790043869528;17;0;0;0;0;0;0;0;0;17;0;0;17
5243;c0001-02;BIC-Olaya;2000;1;31;1620;-77.31666666666666;-13.90666666666667;D;4001.52651368;A0;56.5403127104;24.2;35.23;5.36;ASS;3;.47;.65873363898;.0358753071053;4.01399480082;.979267267299;0;0;0;0;0;0;0;0;0;0;0;0;0
4402;c0001-02;BIC-Olaya;2000;2;2;349;-78.145;-13.12833333333334;N;5252.2208377;A0;84.9120560752;24.2;35.13;5.36;ASS;3;.318;1.42478386936;.0471535926474;.776253298862;2.56113981392;0;0;0;0;0;0;0;0;0;0;0;0;0
